Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Texas Tech	Big 12	13-19	0.40625	-22	170	1.42096	167	25.8128	274	78.4458	83	20.0685	5.6689	79	30.9234	
Radford	Big South	22-12	0.64706	+7	171	1.41973	162	26.2044	113	85.0491	217	13.8616	3.10568	265	22.2171	
CS Sacramento	Big Sky	21-12	0.63636	+13	172	1.41892	177	25.2847	156	83.4643	204	14.523	3.09346	259	22.4085	
E Illinois	OH Valley	18-15	0.54545	-8	173	1.41851	193	24.1329	214	81.1496	177	15.6864	2.86813	188	24.6359	
Hofstra	Colonial	20-14	0.58824	-23	174	1.41628	128	28.5378	22	92.2926	314	8.95203	0.701944	227	23.5705	
Santa Clara	West Coast	14-18	0.4375	-20	175	1.40179	173	25.3923	229	80.5659	128	17.5263	1.54867	113	27.5221	
Oral Roberts	Summit Lg	19-15	0.55882	+16	176	1.40106	198	23.9288	103	85.4474	272	11.1856	4.99025	191	24.5221	
Rutgers	Big 10	10-22	0.3125	-2	177	1.39305	185	24.5277	250	79.423	123	17.808	3.29241	55	32.8367	
Gardner Webb	Big South	20-15	0.57143	-5	178	1.38774	200	23.8864	54	88.5696	324	8.02174	3.80344	246	22.9285	
James Madison	Colonial	19-14	0.57576	-12	179	1.3866	194	24.0667	188	82.3336	205	14.4382	1.48637	168	25.2372	
UNC Wilmington	Colonial	18-14	0.5625	-16	180	1.38434	188	24.3937	120	84.8458	253	12.2521	2.44794	203	24.242	
New Mexico	Mountain West	15-16	0.48387	-7	181	1.3815	158	26.3893	277	78.3984	77	20.6887	4.74678	115	27.4523	
American Univ	Patriot League	17-16	0.51515	+2	182	1.37631	179	25.0724	318	75.114	44	22.6651	2.36021	178	24.8883	
Winthrop	Big South	19-13	0.59375	+6	183	1.37451	176	25.2933	122	84.7956	236	13.202	3.81911	310	20.9375	
Bucknell	Patriot League	19-15	0.55882	-1	184	1.37361	186	24.5215	112	85.0563	254	12.1716	2.85703	196	24.4081	
St Joseph's PA	Atlantic 10	13-18	0.41935	-9	185	1.36518	172	25.4124	263	79.053	102	19.0649	4.28957	101	28.7674	
Dartmouth	Ivy League	14-15	0.48276	-14	186	1.35122	184	24.5667	226	80.643	152	16.6269	2.37985	164	25.3185	
WI Milwaukee	Horizon	14-16	0.46667	+4	187	1.34695	210	23.4331	215	81.104	196	15.0337	4.21232	144	26.0255	
Fresno St	Mountain West	15-17	0.46875	-2	188	1.34577	215	23.0581	199	81.8711	215	13.8865	5.34659	152	25.8671	
Cal Poly SLO	Big West	13-16	0.44828	+1	189	1.34543	163	26.1965	317	75.1322	29	23.7679	3.8971	133	26.546	
SC Upstate	Atlantic Sun	24-12	0.66667	-30	190	1.33675	197	23.9542	239	79.9376	150	16.7182	2.57151	341	18.3548	
