Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		SSF		EW	EL	
Ohio	Mid-American	19-10	0.65517	-1	118	1.65594	101	33.1027	115	91.4919	126	18.3717	2.40292	169	26.9415	164	27.0543	0.5959	0.4041	
Grand Canyon	Western Athletic	22-9	0.70968	+17	119	1.64983	139	29.6081	210	87.2852	107	19.0826	3.06499	248	24.6644	249	24.6644	0	0	
UNC Asheville	Big South	23-9	0.71875	-25	120	1.64523	110	32.4905	93	92.5223	162	16.7275	2.17926	231	25.0351	232	25.0351	0	0	
Georgia St	Sun Belt	19-11	0.63333	-2	121	1.63938	123	31.157	161	89.4739	125	18.4411	3.77292	158	27.2594	159	27.2918	0.6638	0.3362	
ULL	Sun Belt	21-11	0.65625	+22	122	1.63562	134	30.1404	35	97.2394	295	9.66197	3.12272	184	26.432	178	26.6926	0.3362	0.6638	
Furman	Southern	21-11	0.65625	-13	123	1.63494	121	31.6492	206	87.3994	76	21.0101	2.55198	173	26.7241	174	26.7241	0	0	
Oakland	Horizon	24-8	0.75	-26	124	1.63184	115	32.0438	96	92.3894	170	16.4218	2.63705	221	25.294	222	25.294	0	0	
Towson	Colonial	20-13	0.60606	+1	125	1.62717	124	30.9434	168	89.2183	123	18.4819	3.49711	143	27.913	143	27.913	0	0	
Lehigh	Patriot League	20-12	0.625	+9	126	1.61504	128	30.6081	84	92.935	206	14.4342	2.26493	188	26.3502	188	26.3502	0	0	
La Salle	Atlantic 10	15-14	0.51724	-7	127	1.61187	127	30.6401	67	93.7752	224	13.6281	3.30164	89	31.7872	89	31.8879	0.3614	0.6386	
Old Dominion	Conference USA	19-11	0.63333	-7	128	1.60629	133	30.1868	326	79.3532	18	27.593	3.41288	145	27.7598	146	27.7526	0.5883	0.4117	
South Dakota	Summit Lg	22-11	0.66667	-11	129	1.6011	130	30.256	136	90.5597	168	16.4536	3.72644	197	26.0118	198	26.0118	0	0	
Ball St	Mid-American	20-11	0.64516	+18	130	1.59819	140	29.5465	76	93.3309	240	12.9757	1.99015	215	25.4886	212	25.5916	0.5269	0.4731	
Buffalo	Mid-American	17-14	0.54839	+20	131	1.59305	119	31.7776	86	92.8674	189	15.6732	1.97997	135	28.259	135	28.2974	0.5767	0.4233	
NE Omaha	Summit Lg	18-14	0.5625	+20	132	1.58395	143	29.4505	34	97.4814	306	8.72866	2.91422	131	28.5608	131	28.5608	0	0	
Albany NY	America East	21-12	0.63636	+23	134	1.58193	126	30.7149	204	87.4461	94	20.0278	1.93818	232	25.0167	217	25.4994	0.1786	0.8214	
S Dakota St	Summit Lg	18-16	0.52941	+64	133	1.58193	162	28.541	100	92.2487	237	13.0498	3.83955	147	27.6499	148	27.6499	0	0	
Yale	Ivy League	17-10	0.62963	+7	135	1.57728	149	29.3032	154	89.7543	173	16.3083	1.47176	192	26.2895	181	26.5249	0.3822	0.6178	
Kent	Mid-American	19-13	0.59375	+7	136	1.57623	142	29.4837	110	91.8109	205	14.4353	2.1898	178	26.571	173	26.7304	0.4232	0.5768	
Jacksonville St	OH Valley	20-14	0.58824	+59	137	1.56896	138	29.6989	263	84.1093	64	22.3481	0.926321	208	25.7741	207	25.7741	0	0	
S Illinois	Missouri Val	17-16	0.51515	+12	138	1.56714	146	29.402	239	85.7416	86	20.4231	3.57723	110	30.0675	110	30.0675	0	0	
Rice	Conference USA	22-10	0.6875		139	1.56237	144	29.4201	53	95.3391	275	10.8412	3.07932	252	24.464	251	24.504	0.6208	0.3792	
St Peter's	Metro Atlantic	19-13	0.59375	-6	140	1.5604	125	30.8768	329	79.1373	12	28.4981	1.34201	177	26.5982	179	26.5982	0	0	
Washington St	Pac 12	13-18	0.41935	-10	141	1.55201	166	28.284	188	88.2457	159	16.7994	3.35764	77	33.5228	77	33.5228	0	0	
Tulsa	American Athletic	14-16	0.46667	-18	142	1.54868	151	29.1263	179	88.7471	152	17.1418	5.10894	86	32.5692	87	32.2328	0.7258	0.2742	
Arkansas St	Sun Belt	20-12	0.625	-29	143	1.54829	148	29.3294	193	88.0677	137	18.0234	4.16839	151	27.5288	152	27.5288	0	0	
W Michigan	Mid-American	16-15	0.51613	+25	144	1.54372	159	28.7458	159	89.5372	180	15.9713	3.45968	137	28.2351	136	28.2761	0.4731	0.5269	
Loy Marymount	West Coast	15-15	0.5	-8	145	1.53283	153	29.033	203	87.5016	129	18.2901	2.45417	109	30.2142	108	30.2142	0	0	
Chattanooga	Southern	19-12	0.6129	-33	146	1.52459	136	30.0094	224	86.6548	93	20.1156	2.89405	153	27.4733	153	27.4733	0	0	
Wyoming	Mountain West	18-14	0.5625	-9	147	1.52221	156	28.9083	75	93.4043	249	12.2611	4.02779	132	28.5028	132	28.5028	0	0	
Ga Southern	Sun Belt	18-13	0.58065	-15	148	1.52157	160	28.6452	146	90.1358	197	15.2683	3.80487	179	26.5269	180	26.5405	0.627	0.373	
Siena	Metro Atlantic	17-17	0.5	+28	149	1.51657	152	29.074	121	91.2496	202	14.5823	2.276	139	28.1028	140	28.1028	0	0	
Massachusetts	Atlantic 10	15-17	0.46875	-5	150	1.51521	131	30.2519	150	89.9643	153	17.0494	2.65227	103	30.7404	102	30.8595	0.3531	0.6469	
William & Mary	Colonial	17-14	0.54839	+10	151	1.51483	163	28.4744	46	96.2604	302	8.97195	4.80747	155	27.36	155	27.36	0	0	
Samford	Southern	19-15	0.55882	+18	152	1.51411	147	29.3752	64	94.4681	260	11.6679	1.68708	165	27.0349	166	27.0349	0	0	
UC Irvine	Big West	19-13	0.59375	+23	153	1.51404	137	29.7261	236	85.8817	82	20.6077	3.21655	185	26.4316	195	26.1785	0.8536	0.1464	
Loyola-Chicago	Missouri Val	18-14	0.5625	-24	154	1.51132	116	31.9456	189	88.189	83	20.5184	4.16771	142	27.9741	142	27.9741	0	0	
Toledo	Mid-American	17-15	0.53125	+8	155	1.50726	132	30.2223	116	91.416	192	15.5689	3.36768	146	27.7277	144	27.8924	0.4041	0.5959	
E Washington	Big Sky	21-10	0.67742	-24	156	1.49855	178	27.3886	98	92.3648	255	11.786	3.47788	263	23.9957	267	23.8939	0.7134	0.2866	
Wright St	Horizon	20-12	0.625	-17	157	1.49672	171	27.7859	143	90.2775	210	14.2747	3.19086	183	26.4718	185	26.4718	0	0	
Wofford	Southern	16-17	0.48485	+14	158	1.49206	141	29.4964	73	93.5901	245	12.6664	3.39325	141	28.0225	141	28.0225	0	0	
Northern Iowa	Missouri Val	14-16	0.46667	-18	159	1.48591	177	27.4408	330	78.9483	36	25.2514	4.55522	95	31.3975	96	31.3975	0	0	
N Dakota St	Summit Lg	19-11	0.63333	-31	160	1.48504	183	26.9986	217	86.9578	160	16.7979	4.10926	200	25.9562	201	25.9562	0	0	
Troy	Sun Belt	19-14	0.57576	+14	161	1.48186	157	28.847	99	92.3349	230	13.2718	3.47382	243	24.7709	233	24.9993	0.373	0.627	
Missouri St	Missouri Val	17-16	0.51515	+18	162	1.48163	150	29.1328	162	89.4708	169	16.4245	3.98013	138	28.1503	138	28.1503	0	0	
New Hampshire	America East	20-12	0.625	+2	163	1.48033	167	28.0841	256	84.3869	84	20.4562	1.94972	275	23.5064	275	23.5064	0	0	
LSU	Southeastern	10-21	0.32258	-5	164	1.47813	165	28.2909	47	95.8341	301	9.21335	3.67139	52	36.0885	53	36.0885	0	0	
Utah St	Mountain West	15-16	0.48387	-3	165	1.47371	145	29.4067	192	88.094	135	18.0683	4.49728	129	28.6186	123	28.9156	0.2229	0.7771	
North Dakota	Big Sky	19-9	0.67857	-20	166	1.46603	175	27.5566	134	90.5739	219	13.7404	3.1726	309	21.4874	309	21.5461	0.644	0.356	
Mercer	Southern	15-17	0.46875	-1	167	1.46484	129	30.2586	241	85.7119	72	21.3076	2.24445	134	28.3535	134	28.3535	0	0	
E Michigan	Mid-American	16-16	0.5	+26	168	1.46119	155	28.959	152	89.7976	183	15.9227	2.16315	149	27.5695	147	27.7384	0.361	0.639	
Elon	Colonial	18-14	0.5625	-22	169	1.45542	158	28.7603	191	88.1163	146	17.4019	3.90878	174	26.7148	176	26.7148	0	0	
Gardner Webb	Big South	19-14	0.57576	+12	170	1.45336	154	29.0225	118	91.3293	204	14.4516	0.698014	270	23.7188	270	23.7188	0	0	
Fordham	Atlantic 10	13-18	0.41935	-17	171	1.45133	169	27.8741	300	81.4138	54	23.2195	1.99107	112	29.8523	113	29.9421	0.3384	0.6616	
Evansville	Missouri Val	16-17	0.48485	+17	172	1.44244	173	27.6686	200	87.6903	161	16.7377	4.18062	130	28.606	130	28.606	0	0	
Marshall	Conference USA	18-14	0.5625	-5	173	1.44018	176	27.5366	9	103.277	347	1.02118	3.99128	170	26.8675	170	26.9681	0.4116	0.5884	
Texas St	Sun Belt	18-12	0.6	+11	174	1.43827	192	26.165	316	80.4175	63	22.5071	4.39435	259	24.1938	259	24.0434	0.7909	0.2091	
Northeastern	Colonial	15-16	0.48387	-17	175	1.43259	179	27.2193	201	87.612	172	16.3658	3.8416	122	29.0226	122	29.0226	0	0	
