Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
F Dickinson	Northeast	17-11	0.60714	+2	182	-0.017086	180	-0.068684	278	63.9446	73	6.89509	2.54682	263	-2.19116	
Drake	Missouri Val	11-18	0.37931	-3	183	-0.022602	174	0.873881	262	65.8201	88	5.93646	5.75902	138	4.58523	
Idaho	Big West	12-17	0.41379	-1	184	-0.025094	182	-0.521038	181	70.4193	189	-0.029525	4.71397	157	3.56646	
St Francis NY	Northeast	18-12	0.6		185	-0.029722	183	-0.526481	61	77.7348	293	-7.35746	1.90039	261	-2.12318	
Oakland	Mid-Continent	13-17	0.43333		186	-0.047233	191	-1.16401	109	74.5386	269	-4.798	3.82206	177	2.3444	
UT San Antonio	Southland	15-13	0.53571	+1	187	-0.056299	184	-0.554359	108	74.6073	262	-4.26511	3.01777	219	-0.085406	
Illinois St	Missouri Val	10-20	0.33333	-1	188	-0.067	178	0.085258	157	71.8241	204	-0.851314	6.07191	134	5.17933	
UT Arlington	Southland	15-12	0.55556		189	-0.068294	188	-0.696197	70	76.7851	284	-6.58455	2.61627	233	-0.78054	
Texas A&M	Big 12	8-20	0.28571		190	-0.08399	198	-1.50245	194	69.8993	200	-0.498051	4.84489	101	7.13431	
WKU	Sun Belt	11-18	0.37931	+3	191	-0.084872	176	0.18159	186	70.2415	173	0.840273	5.23138	167	3.04024	
Loyola-Chicago	Midwestern CC	14-14	0.5	+4	192	-0.085443	211	-2.42081	212	68.774	196	-0.313231	6.8325	188	1.82617	
Lamar	Southland	15-16	0.48387	-2	193	-0.087299	195	-1.39723	283	63.4128	84	6.09513	3.54017	201	0.942445	
Wright St	Midwestern CC	11-17	0.39286	+7	194	-0.093169	204	-1.93252	266	65.2052	119	3.75112	7.43059	164	3.25855	
Quinnipiac	Northeast	18-10	0.64286		195	-0.100914	219	-2.93026	120	73.8954	278	-5.91987	2.27321	285	-3.51486	
Ga Southern	Southern	16-12	0.57143	-4	196	-0.11121	233	-3.86119	92	75.4988	299	-8.46934	4.66139	244	-1.48975	
